ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
36149_at	0.0466	0.00018554	7.306633	1.37034	3.782204	DPYSL3	dihydropyrimidinase like 3
33673_r_at	0.0466	0.00018633	-7.301568	1.36642	-2.604504	UGT2B17	UDP glucuronosyltransferase family 2 member B17
38465_at	0.0466	0.00018848	7.287935	1.35584	2.25575	PAM	peptidylglycine alpha-amidating monooxygenase
1054_at	0.0487	0.0002008	-7.212817	1.29718	-3.094109	RFC4	replication factor C subunit 4
35679_s_at	0.0504	0.00021755	7.118636	1.22269	2.641431	DPP6	dipeptidyl peptidase like 6
34451_at	0.0504	0.00021818	-7.115237	1.21998	-4.108284	MPP6	membrane palmitoylated protein 6
37276_at	0.0504	0.00021961	7.107643	1.21392	2.592232	IQGAP2	IQ motif containing GTPase activating protein 2
38143_at	0.0516	0.00023192	7.044136	1.16301	2.525017	KLK7	kallikrein related peptidase 7
40454_at	0.0516	0.00023297	7.038903	1.15879	2.597992	FAT1	FAT atypical cadherin 1
41616_at	0.0522	0.00024301	-6.990171	1.11936	-2.479201	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4
41191_at	0.0522	0.00024454	6.982946	1.11348	2.749619	PALLD	palladin, cytoskeletal associated protein
34445_at	0.0522	0.00025151	6.950635	1.08715	2.172502	RABGAP1L	RAB GTPase activating protein 1 like
38514_at	0.0522	0.00025928	-6.915803	1.05862	-2.634456	IGLL1	immunoglobulin lambda like polypeptide 1
1897_at	0.0522	0.00025995	6.912839	1.05618	2.257503	TGFBR3	transforming growth factor beta receptor 3
38469_at	0.0522	0.00026122	6.907254	1.05159	2.359718	TSPAN8	tetraspanin 8
40386_r_at	0.0522	0.00026793	-6.878384	1.02779	-2.524728	TDGF1	teratocarcinoma-derived growth factor 1
33362_at	0.0522	0.00026872	6.875009	1.025	2.652638	CDC42EP3	CDC42 effector protein 3
35893_s_at	0.0528	0.00027937	6.830889	0.98842	3.0174	CR1	complement component 3b/4b receptor 1 (Knops blood group)
38839_at	0.0528	0.00028286	6.816876	0.97675	2.300581	PFN2	profilin 2
41439_at	0.0528	0.00028419	6.811552	0.97231	2.857622	MYO1B	myosin IB
35498_at	0.0564	0.00030806	-6.720939	0.89618	-2.946708	CRYGA	crystallin gamma A
38946_at	0.0568	0.00031501	-6.696039	0.87507	-3.719295	PPEF1	protein phosphatase with EF-hand domain 1
1581_s_at	0.0569	0.00032018	6.677913	0.85966	2.468956	TOP2B	topoisomerase (DNA) II beta
40551_at	0.0573	0.00033567	-6.625537	0.81488	-3.384292	SPTBN1	spectrin beta, non-erythrocytic 1
31967_at	0.0573	0.00033732	6.620113	0.81023	2.616461	NPHS1	NPHS1, nephrin
41653_at	0.0573	0.00034049	-6.609766	0.80133	-2.948651	PHACTR1	phosphatase and actin regulator 1
33152_at	0.0573	0.00034067	6.609212	0.80086	2.657294	ARF6	ADP ribosylation factor 6
36453_at	0.0578	0.00034828	6.584845	0.77985	2.24578	KBTBD11	kelch repeat and BTB domain containing 11
31684_at	0.0579	0.00035388	6.567322	0.7647	2.692781	ANXA2P1	annexin A2 pseudogene 1
36213_at	0.0579	0.00035787	-6.555007	0.75402	-2.897766	MFHAS1	malignant fibrous histiocytoma amplified sequence 1
36269_at	0.059	0.00037834	-6.494235	0.70106	-2.303339	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
37714_at	0.059	0.00037912	-6.491975	0.69908	-2.73898	GAP43	growth associated protein 43
1320_at	0.059	0.00038089	6.486914	0.69464	2.409882	PTPN21	protein tyrosine phosphatase, non-receptor type 21
31425_g_at	0.059	0.00038342	-6.479708	0.68832	-2.187984	OR2F2///OR2F1	olfactory receptor family 2 subfamily F member 2///olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)
34771_at	0.0591	0.00038836	-6.465822	0.67612	-2.129994	PLPP2	phospholipid phosphatase 2
38840_s_at	0.0593	0.00039493	6.447625	0.6601	2.062462	PFN2	profilin 2
33172_at	0.0634	0.00042716	6.363084	0.58507	3.196146	SEPT11	septin 11
36681_at	0.0639	0.00043934	6.332986	0.55812	2.809652	APOD	apolipoprotein D
32387_at	0.0639	0.00044271	6.324827	0.5508	1.946267	PLA2G15	phospholipase A2 group XV
39647_s_at	0.0639	0.0004455	6.318139	0.54478	2.747202	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2
39625_at	0.0645	0.00046245	6.278382	0.50892	2.788125	EXPH5	exophilin 5
33772_at	0.0645	0.00046302	6.27709	0.50775	3.080251	PTGER4	prostaglandin E receptor 4
36393_at	0.0645	0.00046471	-6.27322	0.50425	-2.147694	DPF1	double PHD fingers 1
38920_at	0.0651	0.00047472	-6.250629	0.48376	-3.202201	CHEK1	checkpoint kinase 1
36220_at	0.0651	0.00048	-6.238932	0.47312	-2.755075	DDAH1	dimethylarginine dimethylaminohydrolase 1
36069_at	0.0668	0.00049761	6.200955	0.43845	1.974591	SRGAP2C///SRGAP2B///SRGAP2	SLIT-ROBO Rho GTPase activating protein 2C///SLIT-ROBO Rho GTPase activating protein 2B///SLIT-ROBO Rho GTPase activating protein 2
36396_at	0.0673	0.00051433	6.166263	0.4066	1.930363		
31789_at	0.0673	0.00051462	-6.165667	0.40606	-3.803812	CYP17A1	cytochrome P450 family 17 subfamily A member 1
737_at	0.0673	0.00051694	-6.160957	0.40172	-2.413772	POM121L1P	POM121 transmembrane nucleoporin like 1, pseudogene
1787_at	0.0678	0.0005297	6.135472	0.3782	2.285152	CDKN1C	cyclin dependent kinase inhibitor 1C
36095_at	0.0678	0.00053614	6.122853	0.36652	2.060751	CLIP3	CAP-Gly domain containing linker protein 3
34840_at	0.0678	0.00053875	6.117805	0.36184	3.978104	SERINC5	serine incorporator 5
33548_f_at	0.0678	0.00054249	-6.110599	0.35515	-4.491732	FUT2	fucosyltransferase 2
39940_at	0.0692	0.0005595	6.078533	0.32532	2.075047	SBSPON	somatomedin B and thrombospondin type 1 domain containing
33953_at	0.0726	0.00059701	-6.01152	0.26249	-2.087118		
32667_at	0.0726	0.00060679	5.994835	0.24675	1.965907	COL4A5	collagen type IV alpha 5 chain
33830_at	0.0726	0.00060827	5.992335	0.24438	2.321899	LEPROT	leptin receptor overlapping transcript
35220_at	0.0726	0.00060945	5.990343	0.2425	3.627483	ENPEP	glutamyl aminopeptidase
36989_at	0.073	0.00063317	5.951268	0.20545	1.996452	DAG1	dystroglycan 1
763_at	0.073	0.00063712	5.944924	0.19942	2.266597	GMFB	glia maturation factor beta
1530_g_at	0.073	0.00064535	5.931835	0.18694	2.588153	FRY	FRY microtubule binding protein
1533_at	0.073	0.00064889	5.926272	0.18164	2.290225	RAD50	RAD50 double strand break repair protein
35814_at	0.073	0.00065342	5.919188	0.17487	2.278397	EIF3M	eukaryotic translation initiation factor 3 subunit M
37429_g_at	0.073	0.00065569	5.915668	0.17151	2.357013	NTNG1	netrin G1
35391_at	0.073	0.00065843	-5.911425	0.16745	-4.207037	ADAM22	ADAM metallopeptidase domain 22
36497_at	0.073	0.00065889	-5.910709	0.16676	-2.224193	AHNAK2	AHNAK nucleoprotein 2
40215_at	0.0733	0.00066742	5.897664	0.15427	1.865035	UGCG	UDP-glucose ceramide glucosyltransferase
32032_at	0.075	0.00068924	5.865094	0.12296	1.949721	TSSK2///DGCR14	testis specific serine kinase 2///DiGeorge syndrome critical region gene 14
32531_at	0.0752	0.0006969	5.853933	0.1122	2.179768	GJA1	gap junction protein alpha 1
31364_i_at	0.0757	0.00070787	-5.838181	0.09698	-1.919786	NFAT5	nuclear factor of activated T-cells 5
34022_at	0.0776	0.00073647	-5.798392	0.05836	-2.025847	CXCL3	C-X-C motif chemokine ligand 3
1490_at	0.0776	0.00073776	-5.796631	0.05665	-2.505806	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog
35579_at	0.0781	0.00075025	5.779836	0.04028	3.712647	EXPH5	exophilin 5
1741_s_at	0.0781	0.00075528	5.773158	0.03376	3.496164	IGFBP2	insulin like growth factor binding protein 2
31454_f_at	0.0788	0.00077059	-5.753123	0.01415	-2.081922		
32296_at	0.0788	0.00077581	-5.746402	0.00756	-2.909779	CA5A	carbonic anhydrase 5A
40522_at	0.0788	0.00078695	5.732209	-0.00638	2.112157	GLUL	glutamate-ammonia ligase
41209_at	0.0788	0.00078877	5.729914	-0.00864	2.333973	LPL	lipoprotein lipase
32274_r_at	0.0788	0.00079746	-5.719039	-0.01934	-2.738256	XRCC6	X-ray repair cross complementing 6
41839_at	0.0788	0.00080167	5.713809	-0.02449	2.783452	GAS1	growth arrest specific 1
36092_at	0.0788	0.00080513	5.709544	-0.0287	3.35149	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein
645_at	0.0795	0.00083455	5.674035	-0.06383	2.411423	HSPA2	heat shock protein family A (Hsp70) member 2
40903_at	0.0795	0.00084171	5.665603	-0.0722	2.063937	ATP6AP2	ATPase H+ transporting accessory protein 2
103_at	0.0795	0.00084513	-5.661608	-0.07616	-2.0826	THBS4	thrombospondin 4
41045_at	0.0795	0.00084769	5.658632	-0.07912	2.701434	SECTM1	secreted and transmembrane 1
36305_at	0.0795	0.00085488	-5.650315	-0.0874	-1.850049	SLC6A3	solute carrier family 6 member 3
39409_at	0.0795	0.00085784	5.646907	-0.09079	2.2715	C1R	complement C1r subcomponent
306_s_at	0.0795	0.00086459	5.6392	-0.09847	1.953456	HMGN1	high mobility group nucleosome binding domain 1
37296_at	0.0795	0.00087783	5.624274	-0.11337	3.437156	ARL1	ADP ribosylation factor like GTPase 1
35642_at	0.0795	0.00088063	5.621151	-0.11649	2.483243	MTX2	metaxin 2
36268_at	0.0795	0.00088789	-5.613099	-0.12455	-2.871104	LPAR4	lysophosphatidic acid receptor 4
40889_at	0.0795	0.00088824	-5.612717	-0.12493	-1.87409	LOC100510710///GBAP1///GBA	glucosylceramidase-like///glucosylceramidase beta pseudogene 1///glucosylceramidase beta
38793_at	0.0795	0.00089153	5.609092	-0.12856	3.373716	TNNT2	troponin T2, cardiac type
31334_at	0.0795	0.00089808	-5.601933	-0.13574	-2.598328	GPR45	G protein-coupled receptor 45
41744_at	0.0795	0.00090762	5.591602	-0.1461	1.85869	OPTN	optineurin
41434_at	0.0795	0.00091103	5.587935	-0.14979	2.079321	USP46	ubiquitin specific peptidase 46
35493_at	0.0795	0.00092128	5.577016	-0.16077	3.71512	COL4A4	collagen type IV alpha 4 chain
33552_at	0.0795	0.00093617	-5.561389	-0.17652	-4.504113	SLCO1A2	solute carrier organic anion transporter family member 1A2
35136_at	0.0795	0.00093828	5.559196	-0.17873	2.72727	NXT2	nuclear transport factor 2 like export factor 2
40571_at	0.0795	0.00094346	5.553843	-0.18413	2.478311	MYO5A	myosin VA
37273_at	0.0795	0.00094389	5.553397	-0.18458	2.161873	ERBB4	erb-b2 receptor tyrosine kinase 4
37858_at	0.0795	0.00095152	5.545574	-0.19249	1.79043	COLQ	collagen like tail subunit of asymmetric acetylcholinesterase
40389_at	0.0795	0.00096263	-5.534301	-0.2039	-2.208804	SLC38A3	solute carrier family 38 member 3
AFFX-YEL018w/_at	0.0795	0.00096325	-5.533676	-0.20454	-1.940396		
38637_at	0.0795	0.00096408	5.532836	-0.20539	2.226155	LOX	lysyl oxidase
35345_at	0.0801	0.00097712	-5.519818	-0.21859	-1.919738	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2
966_at	0.0801	0.00098315	-5.513863	-0.22464	-1.814198	RAD54L	RAD54-like (S. cerevisiae)
38984_at	0.0803	0.00099414	5.503107	-0.23558	2.464652	PREPL	prolyl endopeptidase-like
34014_f_at	0.0803	0.00099878	-5.498603	-0.24017	-3.099937	POU1F1	POU class 1 homeobox 1
35098_at	0.0805	0.00101959	-5.478705	-0.26046	-2.140021	GABRD	gamma-aminobutyric acid type A receptor delta subunit
39572_at	0.0805	0.00102227	5.476175	-0.26305	2.659622	GRIK2	glutamate ionotropic receptor kainate type subunit 2
1475_s_at	0.0805	0.00102778	-5.471003	-0.26834	-1.879654	MYB	MYB proto-oncogene, transcription factor
36540_at	0.0805	0.00103061	5.468352	-0.27105	1.96264	RHOBTB2	Rho related BTB domain containing 2
32199_at	0.0805	0.00105574	5.445203	-0.29478	2.450358	PTPRO	protein tyrosine phosphatase, receptor type O
33562_g_at	0.0805	0.001057	5.444058	-0.29595	2.556558	COL4A3	collagen type IV alpha 3 chain
34816_at	0.0805	0.00106088	5.440544	-0.29956	2.823	EP400	E1A binding protein p400
40217_s_at	0.0805	0.00106991	5.432416	-0.30792	3.495147	CDS1	CDP-diacylglycerol synthase 1
36868_at	0.0805	0.00107181	5.430721	-0.30966	2.037095	NFASC	neurofascin
39301_at	0.0805	0.00108846	-5.415964	-0.32486	-1.987207	CAPN3	calpain 3
37247_at	0.0805	0.00109056	5.414118	-0.32677	3.394933	TCF21	transcription factor 21
40079_at	0.0805	0.0011064	5.400342	-0.34099	3.319265	GPRC5A	G protein-coupled receptor class C group 5 member A
34109_at	0.0805	0.00110823	-5.398773	-0.34262	-1.979322	PRODH	proline dehydrogenase 1
37516_at	0.0805	0.00110856	5.398485	-0.34292	4.777974	DDN	dendrin
36203_at	0.0805	0.00113274	5.377919	-0.36421	2.091863	ODC1	ornithine decarboxylase 1
37890_at	0.0805	0.00113636	5.374887	-0.36736	1.891169	CD47	CD47 molecule
1471_at	0.0805	0.00113742	-5.373996	-0.36828	-2.835947	MYB	MYB proto-oncogene, transcription factor
32570_at	0.0805	0.00114959	5.363885	-0.37879	4.371643	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
36313_at	0.0805	0.00114996	5.363574	-0.37911	2.575888	EVI2A	ecotropic viral integration site 2A
36867_at	0.0805	0.0011531	5.360985	-0.3818	2.886179	NFASC	neurofascin
37225_at	0.0805	0.00115341	5.360733	-0.38206	1.789327	KANK1	KN motif and ankyrin repeat domains 1
35276_at	0.0805	0.00115402	-5.360228	-0.38259	-2.944121	CLDN4	claudin 4
36508_at	0.0805	0.00115739	5.357461	-0.38547	3.913677	GPC4	glypican 4
39334_s_at	0.0805	0.00116544	-5.350886	-0.39231	-2.336632	ATN1	atrophin 1
35204_at	0.0805	0.00117226	5.345351	-0.39808	2.610944	SEMA5A	semaphorin 5A
36301_at	0.0805	0.00118008	-5.339053	-0.40465	-2.319718	INSL3	insulin like 3
39754_at	0.0805	0.00119294	5.32879	-0.41536	1.853065	ITGB5	integrin subunit beta 5
40051_at	0.0805	0.00119473	5.327376	-0.41684	1.793546	TRAM2	translocation associated membrane protein 2
40907_at	0.0805	0.00120291	-5.320923	-0.42359	-2.28162		
39318_at	0.0805	0.00120578	-5.318672	-0.42594	-1.764937	TCL1A	T-cell leukemia/lymphoma 1A
1500_at	0.0805	0.00121168	5.314064	-0.43077	2.763866	WT1	Wilms tumor 1
32633_at	0.0805	0.00121632	-5.31045	-0.43455	-2.621775	ICA1	islet cell autoantigen 1
37528_at	0.0805	0.00121766	5.309415	-0.43564	2.253288	ASPH	aspartate beta-hydroxylase
36756_at	0.0805	0.00122159	-5.30637	-0.43883	-2.594544	IL5RA	interleukin 5 receptor subunit alpha
39810_at	0.0805	0.00122427	5.304302	-0.441	2.299393	KXD1	KxDL motif containing 1
37942_at	0.0809	0.00123662	-5.294846	-0.45092	-2.026847	GPR162	G protein-coupled receptor 162
34957_at	0.0831	0.00128863	5.256135	-0.4917	1.618525	FAM50B	family with sequence similarity 50 member B
32073_at	0.0831	0.00129214	5.253585	-0.49439	1.777754	KDM4A	lysine demethylase 4A
35664_at	0.0831	0.00130112	-5.247097	-0.50125	-1.718612	MMRN1	multimerin 1
36309_at	0.0831	0.0013079	-5.242229	-0.5064	-3.82779	MSTN	myostatin
35832_at	0.0831	0.00130877	5.241611	-0.50706	3.956408	SULF1	sulfatase 1
31592_at	0.0831	0.00131068	-5.240241	-0.50851	-2.064593		
38596_i_at	0.0832	0.00132788	-5.228058	-0.52142	-2.453766	SLC11A1	solute carrier family 11 member 1
658_at	0.0832	0.00132889	-5.227347	-0.52217	-3.20841	THBS2	thrombospondin 2
40911_at	0.0832	0.00133129	-5.225659	-0.52396	-2.37831		
39071_at	0.0839	0.00135676	5.207984	-0.54274	1.577819	ITGAV	integrin subunit alpha V
38396_at	0.0839	0.00138454	5.189116	-0.56285	3.219532	MAP1B	microtubule associated protein 1B
39100_at	0.0839	0.00138998	5.185471	-0.56674	3.454291	SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
1736_at	0.0839	0.00139063	-5.18504	-0.5672	-2.271704	IGFBP6	insulin like growth factor binding protein 6
321_at	0.0839	0.00139774	5.180302	-0.57226	2.436277	WASL	Wiskott-Aldrich syndrome like
39266_at	0.0839	0.00140166	5.177705	-0.57504	2.716866	KCND3	potassium voltage-gated channel subfamily D member 3
36405_s_at	0.0839	0.00140339	-5.176555	-0.57626	-2.5506	GLP1R	glucagon like peptide 1 receptor
40597_g_at	0.0839	0.0014093	-5.172655	-0.58043	-2.174504	TCOF1	treacle ribosome biogenesis factor 1
160036_at	0.0839	0.00140944	-5.172563	-0.58053	-1.967976	ESRRB	estrogen related receptor beta
41759_at	0.0839	0.00141798	5.166965	-0.58652	1.637038	SKP1	S-phase kinase-associated protein 1
37645_at	0.0839	0.00141827	-5.166773	-0.58673	-1.661804	CD69	CD69 molecule
39524_at	0.0839	0.001423	-5.163685	-0.59004	-2.714981	RHO	rhodopsin
1246_at	0.0839	0.00143217	-5.157736	-0.59641	-2.33539	PTPRS	protein tyrosine phosphatase, receptor type S
40916_at	0.0839	0.00144403	5.150105	-0.6046	1.899433	BEX4	brain expressed X-linked 4
40573_s_at	0.0839	0.00145035	-5.146068	-0.60893	-2.871149	LOC102723551	uncharacterized LOC102723551
39789_at	0.0839	0.00146596	-5.136174	-0.61956	-2.873214	SLN	sarcolipin
40632_at	0.0839	0.00147132	-5.132803	-0.62319	-2.061686	SEPT5-GP1BB	SEPT5-GP1BB readthrough
39823_at	0.0839	0.00147625	5.129714	-0.62651	1.79345	DCAF8	DDB1 and CUL4 associated factor 8
31768_at	0.0839	0.00147904	-5.127974	-0.62839	-2.937987	HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI	histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai
33433_at	0.0839	0.00148939	5.121541	-0.63532	2.888695	FAM98A	family with sequence similarity 98 member A
38302_at	0.0839	0.00149045	-5.120887	-0.63602	-1.626757	ZNF202	zinc finger protein 202
33641_g_at	0.0839	0.00149548	5.117782	-0.63937	4.294069	AIF1	allograft inflammatory factor 1
39145_at	0.0839	0.00149577	5.117601	-0.63956	1.976765	MYL9	myosin light chain 9
36197_at	0.0842	0.00150675	5.110871	-0.64683	3.175595	CHI3L1	chitinase 3 like 1
39395_at	0.0844	0.00152636	-5.098974	-0.65968	-1.612714	THY1	Thy-1 cell surface antigen
38616_at	0.0844	0.00153005	-5.096756	-0.66208	-3.001795	NDRG2	NDRG family member 2
38674_at	0.0844	0.00153202	5.095571	-0.66336	1.532287	KLHL9	kelch like family member 9
33309_at	0.0844	0.00153804	5.091967	-0.66726	1.845127	ABHD5	abhydrolase domain containing 5
37366_at	0.0848	0.00155502	5.081894	-0.67817	2.098615	PDLIM5	PDZ and LIM domain 5
730_r_at	0.0848	0.00157712	-5.06896	-0.69221	-1.859287	MUC3A	mucin 3A, cell surface associated
36851_g_at	0.0848	0.00157966	5.067486	-0.69381	2.994328	TUSC3	tumor suppressor candidate 3
40496_at	0.0848	0.00158356	5.06523	-0.69626	2.171109	C1S	complement component 1, s subcomponent
40196_at	0.0848	0.00158428	5.064812	-0.69672	1.829804	CTDSPL	CTD small phosphatase like
AFFX-PheX-M_at	0.0848	0.00158981	-5.061623	-0.70018	-2.081559		
31471_at	0.0848	0.00159357	-5.059461	-0.70254	-2.507587	ZNF674	zinc finger protein 674
35470_at	0.0848	0.00160043	-5.055536	-0.70681	-2.661275	HTR2A	5-hydroxytryptamine receptor 2A
1088_at	0.0848	0.00161102	-5.049506	-0.71337	-2.925452	BDNF	brain derived neurotrophic factor
33173_g_at	0.0848	0.00161405	5.04779	-0.71524	1.855808	SEPT11	septin 11
36403_s_at	0.0848	0.00162304	-5.042722	-0.72077	-1.802217	ZNF101	zinc finger protein 101
34356_at	0.0848	0.00163217	5.037601	-0.72635	2.463788	LOC101928625///MED21	uncharacterized LOC101928625///mediator complex subunit 21
36067_at	0.0848	0.00163795	-5.034379	-0.72987	-1.793811	CCL19	C-C motif chemokine ligand 19
33835_at	0.0848	0.00164927	5.028099	-0.73673	1.68903	TSPYL4	TSPY like 4
38379_at	0.0848	0.00165134	5.02696	-0.73797	1.599216	GPNMB	glycoprotein nmb
31555_at	0.0848	0.00166277	-5.020675	-0.74485	-3.508049	HOXB1	homeobox B1
1410_at	0.0848	0.00166319	-5.020447	-0.7451	-3.044306	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
38235_at	0.0848	0.00167116	-5.016098	-0.74986	-1.608969	ARHGEF15	Rho guanine nucleotide exchange factor 15
718_at	0.0848	0.00167239	5.015426	-0.75059	2.610177	HTRA1	HtrA serine peptidase 1
1557_at	0.0855	0.00169415	5.003675	-0.76347	3.568732	PAK1	p21 (RAC1) activated kinase 1
32421_at	0.0856	0.00170702	-4.996808	-0.771	-2.209954	AKAP5	A-kinase anchoring protein 5
31453_s_at	0.0856	0.00170841	-4.996069	-0.77182	-2.860037	LILRA1	leukocyte immunoglobulin like receptor A1
34772_at	0.0858	0.0017271	4.9862	-0.78266	2.344803	CORO2B	coronin 2B
32847_at	0.0858	0.00174515	4.976786	-0.79302	1.871018	MYLK	myosin light chain kinase
34283_at	0.0858	0.00174517	4.976773	-0.79303	2.685047	XYLT1	xylosyltransferase 1
31626_i_at	0.0858	0.00174539	-4.976658	-0.79316	-1.656057	AOC4P	amine oxidase, copper containing 4, pseudogene
32005_at	0.0858	0.00175258	-4.97294	-0.79726	-2.769893	PMCH	pro-melanin concentrating hormone
40487_at	0.0858	0.00175946	4.969394	-0.80116	2.36895	TRIM44	tripartite motif containing 44
32263_at	0.0858	0.00176277	-4.967695	-0.80304	-1.988606	CCNB2	cyclin B2
32502_at	0.0858	0.00176652	-4.965773	-0.80516	-2.252112	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5
